Sehenswürdigkeiten;Ort;Art;Besucher pro Jahr;Longitude;Latitude
Reichstagsgebäude;Mitte;Wahrzeichen & Sehenswürdigkeit • Architektonische Bauwerke;2000000;13376198;52518623
Brandenburger Tor;Mitte;Wahrzeichen & Sehenswürdigkeiten • Monumente & Statuen;3000000;13377775;52516266
Holocaust-Mahnmal;Mitte;Monumente & Statuen;480000;13378344;52513923
Topographie des Terrors;Friedrichshain-Kreuzberg;Spezialmuseen;1000000;133763318;525041646
Gedenkstätte Berliner Mauer;Mitte;Historische Stätten;750000;1339019;52535052
Pergamonmuseum;Mitte;Kunstmuseen;780000;13391331768;52519331256
East Side Gallery;Friedrichshain;Historische Stätten • Wahrzeichen & Sehenswürdigkeiten;3000000;13440164906;52501831326
Friedrichstadt-Palast Berlin;Mitte;Wahrzeichen & Sehenswürdigkeiten • Architektonische Bauwerke;700000;13388027;52523964
Museumsinsel;Mitte;Spezialmuseen • Wahrzeichen & Sehenswürdigkeiten;830000;13402318;52516640
Berliner Dom;Mitte;Architektonische Bauwerke • Kirchen & Kathedralen;700000;13400677;52518986
Tierpark;Lichtenberg;Zoos • Aquarien;1200000;1352033;5250188
Zoo Berlin;Mitte;Zoos • Aquarien;2300000;13338738;52507987
Gendarmenmarkt;Mitte;Wahrzeichen & Sehenswürdigkeiten;600000;13388998444;52508164634
Berliner Fernsehturm;Mitte;Wahrzeichen & Sehenswürdigkeiten • Architektonische Bauwerke;1300000;13409779;52520645
Berliner Philharmonie;Mitte;Symphoniekonzerte • Architektonische Bauwerke;260000;13.37;52.51
Gedenkstätte Berlin-Hohenschönhausen;Lichtenberg (Bezirk);Historische Stätten;300000;1350016;5254164
Neues Museum;Mitte;Spezialmuseen • Kunstmuseen;200000;13397646;52520135
Deutsches Technikmuseum & Spektrum;Friedrichshain-Kreuzberg;Wissenschaftsmuseen;600000;13373165174;5249249803
DDR Museum;Mitte;Spezialmuseen;180000;13401331728;52518081261
Deutsches Spionagemuseum;Mitte;Spezialmuseen • Historische Museen;340000;1.34E+16;5.25E+16
Tränenpalast;Mitte;Historische Museen;300000;1.34E+16;5.25E+16
Gemäldegalerie;Mitte;Kunstmuseen;310000;13359248563;52505081313
Evangelische Kaiser-Wilhelm-Gedächtnis-Kirchengemeinde;Charlottenburg;Religiöse Stätten;1300000;13335082;52504818
Siegessäule;Mitte;Monumente & Statuen;200000;13350119;52514543
Olympiastadion Berlin;Charlottenburg-Wilmersdorf;Arenen & Stadien;300000;13236999052;52508831298
Kaufhaus des Westens (KaDeWe);Schöneberg;Kaufhäuser;12000000;13337998648;52500997996
Schloss Charlottenburg;Charlottenburg;Historische Stätten • Schlösser;400000;1329083217;52519331256
Potsdamer Platz;Mitte;Stadtviertel • Wahrzeichen & Sehenswürdigkeiten;4000000;13376481;52509663
Checkpoint Charlie;Mitte;Historische Stätten;4000000;1339027;525075
Madame Tussauds;Mitte;Kunstmuseen;1500000;13381592;52516889
Berliner Funkturm;Charlottenburg-Wilmersdorf;Wahrzeichen & Sehenswürdigkeiten • Architektonische Bauwerke;60000;1.33E+16;5.25E+15
Alexanderplatz;Mitte?;Ort;0;13413244;52521992
Ku'damm;Charlottenburg-Wilmersdorf;Ort;0;13307665436;52500497998
Teufelsberg;Grunewald;Ort;0;13241111;52497222
Messe Gelände;Charlottenburg-Wilmersdorf;Messe;2000000;13270665584;52502331324
BER;Schönefeld;Flughafen;0;13501997992;523666652
Berghain;Friedrichshain-Kreuzberg;Aktivität;156000;1343916491;5250666464
