"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20230216,20231209
2,1,1,1,1,1,0,0,20230216,20231209
3,0,0,0,0,0,0,0,20230216,20231209
4,0,0,0,0,0,0,0,20230216,20231209
5,0,0,0,0,0,0,0,20230216,20231209
6,0,0,0,0,0,0,0,20230216,20231209
7,1,1,1,1,1,0,0,20230216,20231209
8,0,0,0,0,0,0,0,20230216,20231209
9,1,1,1,1,1,0,0,20230216,20231209
10,0,0,0,0,0,0,0,20230216,20231209
11,0,0,0,0,0,0,0,20230216,20231209
12,0,0,0,0,0,0,0,20230216,20231209
13,0,0,0,0,0,0,0,20230216,20231209
14,0,1,0,1,1,0,0,20230216,20231209
15,0,0,0,0,0,0,0,20230216,20231209
16,0,0,0,0,0,0,0,20230216,20231209
17,0,0,0,0,1,0,0,20230216,20231209
18,0,0,0,0,0,0,0,20230216,20231209
19,0,1,0,1,0,0,0,20230216,20231209
20,1,1,1,1,1,0,0,20230216,20231209
21,0,0,0,0,0,0,0,20230216,20231209
22,0,0,0,0,0,0,0,20230216,20231209
23,0,0,0,0,0,1,1,20230216,20231209
24,1,1,1,1,1,0,0,20230216,20231209
25,0,0,0,0,0,1,0,20230216,20231209
26,0,0,0,0,0,0,0,20230216,20231209
27,0,0,0,0,0,1,1,20230216,20231209
28,1,1,1,1,1,0,0,20230216,20231209
29,1,1,1,1,1,0,0,20230216,20231209
30,0,0,0,0,0,0,0,20230216,20231209
31,1,1,1,1,1,0,0,20230216,20231209
32,0,0,0,0,0,0,0,20230216,20231209
33,0,0,0,0,0,0,0,20230216,20231209
34,0,0,0,0,0,0,0,20230216,20231209
35,0,0,0,0,0,0,0,20230216,20231209
36,1,1,1,1,1,0,0,20230216,20231209
37,0,0,0,0,0,1,0,20230216,20231209
38,0,0,0,0,0,0,1,20230216,20231209
39,0,0,0,0,0,0,1,20230216,20231209
40,0,0,0,0,0,0,0,20230216,20231209
41,0,0,0,0,0,0,0,20230216,20231209
42,0,0,0,0,0,0,1,20230216,20231209
43,0,0,0,0,0,0,0,20230216,20231209
44,0,0,0,0,0,1,0,20230216,20231209
45,1,1,1,1,0,0,0,20230216,20231209
46,0,0,0,0,1,0,0,20230216,20231209
47,0,0,0,0,0,1,1,20230216,20231209
48,0,0,0,0,0,0,0,20230216,20231209
49,0,0,0,0,0,0,0,20230216,20231209
